클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
207,126913,27485,14615,10133,28885,144192,229221,459961,746395,696193,589271,589734,697149,752012,743338,806405,903915,976248,1071819,838037,668607,666779,669545,386897
208,11772,1358,2628,2056,10033,28945,85438,257923,269378,145447,103153,102582,114482,114717,109702,126567,179338,177687,205972,182798,123372,113757,96212,59623
209,4773,454,0,0,1023,8587,11730,29637,40022,23925,17037,16159,18626,19877,18320,22269,23094,26032,33982,27273,20597,19606,19752,11862
210,611,269,32,0,170,1035,3014,5132,12685,4288,3055,2910,3445,3149,3115,5520,8749,8561,7615,3753,2370,2008,2271,1057
211,68032,22722,7023,3933,25074,112503,170310,404080,614965,443328,307955,290258,306434,335624,337627,374773,451777,495622,617571,463460,366455,377800,358255,223900
212,22148,7560,3652,2366,8355,22794,87383,176425,280108,211151,145619,136952,147345,166327,163415,177226,208039,210340,242277,198642,149837,145074,150894,67638
213,48478,5116,839,608,31726,101035,197251,452909,569731,410003,319378,301082,323496,341129,334940,379474,441069,468671,521640,429232,321438,302912,290155,164287
214,19146,3572,2604,1792,21142,42330,75796,156833,169945,132100,105563,98115,113650,116563,112463,128886,153102,157334,174680,162360,118408,108700,102653,64668
215,5605,1541,205,83,3083,6739,17705,46053,61569,38438,31063,29916,32918,33535,31607,37637,47491,43579,45050,39083,29852,26543,23581,13472
216,1507,138,0,0,291,6470,12566,29718,50972,40766,25090,22075,21794,24631,25206,25450,29533,29468,36512,25807,19089,19807,16758,7283
217,56373,28729,15105,20289,36855,70479,118189,297032,425600,345644,273913,289332,302633,337448,337912,352235,395898,431706,477985,316553,262729,283094,254423,137493
218,7045,1605,0,0,2573,7555,22253,54047,64567,34060,24444,22384,25439,25245,26387,29913,42376,49467,52746,41723,33088,30091,27927,14874
219,29341,7594,2404,2666,25986,44710,84114,196660,246334,161332,128002,119492,127360,132040,126627,144303,166417,176332,201588,174483,127765,113458,106203,67446
220,59445,9508,2868,1782,49897,116520,202034,440315,626001,441447,353950,327920,373284,383876,374078,423287,497673,536001,579729,537159,366403,337975,305620,177087
221,12580,1567,12,380,13194,20941,38360,89453,108598,73472,63700,57402,64538,65864,63101,72928,86490,80323,84423,77009,57445,51131,47417,30114
222,20985,1792,339,192,6345,28513,56253,153179,232851,155301,102848,93652,103208,110576,107295,124303,147409,154608,187907,156144,115676,110722,113820,64985
223,13639,1159,830,1092,19459,53186,63665,137499,178923,140936,120306,115948,121183,124181,123902,139610,152041,167562,170560,135780,96402,91153,81076,48086
224,26506,1259,72,170,9551,34965,80117,209221,261834,193278,154842,148104,162836,171297,174693,199403,233001,230299,245632,197119,148646,137281,133506,78362
225,27410,4724,3139,1988,16353,59299,98549,210264,360929,246298,183056,177289,198918,211221,207840,228993,268269,297460,346533,275989,211633,203008,194592,119257
226,153651,17739,11420,8407,89858,409025,555447,1255019,1881045,1284969,831048,734930,772628,819567,810870,885144,1024172,1285092,1717250,1392996,992515,971987,900471,585035
227,25549,7980,1948,1352,36296,75511,104877,206911,280589,235228,180798,172395,185383,194698,197710,224411,252805,256969,263033,197381,157908,150755,141151,74493
228,19737,1066,186,66,8766,33950,100902,270477,327357,220662,181446,174339,189937,195137,196730,226606,267259,269607,311975,268612,199338,178609,170719,105081
229,10241,3069,1575,1171,10300,19640,41189,108238,118113,77223,62342,64741,66862,67483,65801,77113,103101,88505,95528,84392,56161,51421,44355,26821
230,15912,6336,5057,3747,14290,15755,34072,76411,132914,92332,65287,64750,71546,78516,80476,90182,103521,113790,138141,99904,75075,71941,64377,32691
231,53837,13396,10463,7230,37951,120240,136776,256958,487075,347484,299089,318094,356874,403205,429816,475184,509842,564139,686963,467941,386182,353255,311829,171393
232,11960,647,180,112,6069,20313,39840,121529,164985,110419,90574,83120,94167,100252,92582,103521,128286,129490,147079,118350,86741,84039,84830,48034
233,23007,1459,1196,916,13115,52320,96647,213683,309355,233513,196234,184067,194465,199872,200724,216877,242876,260934,307547,256681,191217,183677,174647,110079
234,18219,2561,1589,913,11251,40730,63368,170061,220660,168722,121834,111747,130648,137471,123734,140398,178756,178553,202311,157551,116100,110002,105732,64898
235,2911,3473,1234,142,2365,3197,7611,14239,21044,14331,10650,9086,10771,10065,10863,11897,15594,19000,22282,16553,10656,9938,8794,4061
236,16840,208,62,6,5330,33741,57807,135574,332561,316503,150155,117158,118812,126685,127705,137672,142734,172126,259993,194557,130317,123434,108848,57291
237,13504,1974,0,0,10047,24223,49907,116298,152713,104362,83138,81888,84722,87080,89805,100219,114860,118027,134499,121059,89753,78890,70976,47142
238,26029,2652,904,700,15840,50365,98966,243966,335819,226149,176413,159291,170686,184058,176435,200508,228336,233524,265450,235179,169719,160354,149423,87183
239,31643,10864,3961,1947,22989,39538,83663,208756,221552,154675,125762,119452,125340,128968,128609,160346,197223,178583,198813,177986,135433,126614,124332,80074
