클러스터,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,월
244,10104,420,0,0,678,27960,48664,118578,295310,183490,132576,138624,146930,158866,157624,162576,164890,205440,292312,154280,98086,90176,76412,42986,2019-01
245,3183,0,0,0,176,3778,17385,41043,70210,57122,45494,41705,48387,55468,50801,53803,60179,67481,77459,46728,31248,28278,23713,12608,2019-01
246,26390,872,0,0,296,50932,102768,300682,401090,212484,145066,138132,148888,152602,147898,162602,185902,218812,326492,296482,189748,168880,150764,94436,2019-01
248,46154,2642,0,0,2278,53804,72892,131913,264311,240564,201123,235223,291193,334728,339336,362400,403333,480006,602584,493577,359288,380345,391741,231777,2019-01
249,15111,1632,0,0,75,17299,51494,121009,237237,217172,135044,119011,133735,150041,153571,161537,175243,213006,321104,242512,143662,138376,125528,66083,2019-01
251,2962,1,0,0,9,5081,12452,29018,46102,27496,22366,21891,23450,25075,25508,26203,28646,33989,44885,36846,21501,17820,15465,9144,2019-01
252,4090,44,0,0,33,5549,13332,37158,41379,24436,18526,18040,18901,20058,18828,20099,23283,28816,38732,32965,19535,18053,16781,12388,2019-01
255,49625,739,1,0,566,37858,159270,469573,1361589,942877,660000,695187,726965,822588,817125,838407,878826,1063702,1627368,981445,626130,615869,506692,257496,2019-01
257,27748,578,1,0,122,32070,99662,310258,671491,342991,205133,199567,211041,227190,225093,233284,249123,330021,622662,346199,213053,201997,177296,99813,2019-01
0,7424,676,33,0,93,9432,33778,90111,99518,65225,51243,48067,52104,54075,54436,56160,65843,72415,91590,78672,50845,45634,41673,25638,2019-02
1,19410,1481,37,0,200,23685,58582,138869,346656,218311,157262,156413,158327,172767,169044,172963,186854,227165,311003,215482,153061,138763,119406,69021,2019-02
5,4949,42,0,0,0,6176,21474,59930,70257,44107,36334,36095,41001,42213,42064,43495,47702,52258,66396,58320,37119,32491,31486,19157,2019-02
6,5201,223,0,0,42,3458,28950,74666,199492,116675,93664,93951,97794,113477,112126,116744,127021,155886,218667,131971,83770,75312,62329,26696,2019-02
7,7594,91,7,0,41,11099,29687,83901,179003,96297,62809,61043,64813,71047,66697,71565,76178,94906,160390,97698,66304,63337,54668,32192,2019-02
8,11183,707,17,0,37,11656,50834,109832,175444,154073,135814,134757,140374,146842,145558,159401,166661,180748,218896,182712,135404,118491,95211,48866,2019-02
9,3907,62,0,0,19,7922,23753,52664,71746,41824,30609,27835,29070,30674,29315,30847,36083,42131,53790,47059,29865,28250,25317,15719,2019-02
10,3288,81,6,0,17,5571,14440,36165,47438,28179,20331,19315,21805,21778,21147,21893,24252,28053,38065,34275,21077,18471,16374,10522,2019-02
11,8155,646,1,0,20,10881,33301,107461,112945,60714,46366,43460,48157,48364,45501,48907,54837,62538,83558,75129,46598,40443,42257,26861,2019-02
13,3692,22,13,0,1,5524,13892,35427,47149,28276,21669,21762,23945,25089,23917,25733,28272,33398,41603,37755,22963,21668,21885,11546,2019-02
15,3054,108,0,0,39,3501,10275,24932,48022,27133,21592,19672,22876,25550,22077,22329,26314,33453,37979,28767,19137,19205,18179,12521,2019-02
17,14669,689,3,0,23,16389,49807,123826,214551,124116,85845,89328,95713,99148,96045,100077,112282,146937,216182,163095,105955,104577,98713,60555,2019-02
19,3692,105,1,0,16,3701,19916,43273,59487,45298,33588,34029,42719,47915,43322,46521,49102,63673,64163,48395,30487,34018,46607,14275,2019-02
20,4376,71,16,0,0,5657,14405,36234,63985,40982,29020,26421,27411,29760,28249,30211,32786,37454,49180,40193,28337,27132,23921,15047,2019-02
21,13657,160,0,0,76,19682,48597,120371,171634,115953,88902,86494,95158,98323,100331,105906,116607,133459,179138,157544,107874,95806,89348,58665,2019-02
22,6529,82,0,0,28,10166,25497,51724,79756,49929,37020,36439,39434,40590,40841,44368,49625,58050,72969,67868,43134,38082,34840,20419,2019-02
23,18270,543,21,0,48,13337,50573,128855,270849,220238,130549,121575,134298,150721,153101,162446,175170,224319,341994,250593,157386,157560,147761,83941,2019-02
25,10944,318,8,0,67,16300,45822,120876,227619,109862,78425,75645,80509,88563,83586,89125,101687,125354,192368,145694,83207,73310,66395,40444,2019-02
26,14747,1276,24,0,146,17271,59974,136411,417448,202623,111217,101482,108584,121072,126234,133114,146396,194425,354313,202557,117916,108701,89023,49171,2019-02
27,6579,210,5,0,31,15903,51226,107457,128630,92890,90687,102609,112588,120265,126160,126079,128582,152370,188697,139284,92030,81244,76899,33271,2019-02
29,18205,243,42,0,1370,46358,91828,279510,752322,410569,187722,171749,185075,200360,201613,216418,241485,365144,661558,392502,232263,212291,157224,85843,2019-02
